V1 path,V1 responsibility,V2 destination,Transformation rule,Migration phase,Deletion gate
s01_app.py,"Composition root, CLI/environment setup, source/storage wiring, P&L configuration, app/server export.",app.py; rebirth_v2/composition/factory.py; rebirth_v2/composition/container.py,Keep the shell-first startup order. Make app.py a thin entrypoint and move dependency wiring into factories.,1,V2 app imports and starts without connector I/O.
s02_config.py,"Runtime/JupyterHub path prefixes, host, port, debug, path resolution.",rebirth_v2/config/runtime.py; rebirth_v2/config/settings.py,Copy behavior before changing names. Add typed settings groups and feature flags.,1,Existing prefix/startup tests pass against V2.
s03_publish.py,Build and publish Plotly runtime bundle.,scripts/publish_plotly.py; .github/workflows/deploy-plotly-cloud.yml,Keep deployment outside app code and give V2 its own app name/config.,9,A dry-run bundle is deterministic and cannot overwrite V1.
s04_server.py,Gunicorn process/thread configuration.,rebirth_v2/config/server.py or root gunicorn.conf.py,"Retain operational settings, remove application imports.",1,Gunicorn can import server without loading data.
core/s01_schema.py,"Portfolio registry, metadata roles, tenor columns and canonical names.",rebirth_v2/domain/common/frame_contracts.py; domain/risk/schema.py; domain/products/models.py,Split common frame contracts from product and Risk-specific schemas.,2,Schema tests prove identical accepted/rejected frames.
core/s02_pipeline.py,"Product catalogue, validation, dates, market merge, P&L, mapping, promotion, refresh manager, snapshots, progress.",domain/products/*; domain/market/*; domain/pnl/*; domain/promotion/*; application/pipeline/*; application/snapshots/*,"Strangler extraction. Move pure functions first, then stage orchestration, then manager state. Never rewrite all behavior at once.",3,Golden snapshot parity and failure-retains-last-good tests pass.
core/s03_search.py,Revision-local Quick Risk and Market search catalog and bounded pivots.,application/queries/dimension_catalog.py; risk_query.py; market_history_query.py; application/snapshots/revision_index.py,Separate catalog construction from query execution. Preserve bounded result contracts.,4,Search/pivot result fixtures match V1.
core/s04_pl.py,"P&L send mapping, adjustment overlays, Colossus/Predict history validation and periods.",domain/pnl/*; application/services/pnl_service.py; application/queries/pnl_history_query.py,Keep pure financial transformations in domain; move orchestration and repository access to application.,8,"P&L editor, send validation and history parity tests pass."
core/s05_storage.py,Transactional local CSV adjustment storage.,application/ports/adjustment_repository.py; adapters/storage/adjustments.py,"Define a port around existing behavior, then preserve atomic writes behind adapter.",2,Storage contract suite passes against both implementations.
core/s06_reporting.py,Reported Underlying mapping validation and attachment.,domain/risk/schema.py; application/pipeline/mapping_stage.py; adapters/production/portfolio/reported_underlying.py,"Keep mapping authority explicit and attach after P&L, before promotion.",3,Cross-product reporting identity tests pass.
core/s07_stock.py,"Stock schema, outer comparison, mapping, promotion and hierarchy summaries.",domain/stock/*; application/services/stock_service.py; application/queries/stock_query.py,Retain full-outer comparison and view-local Stock promotion. Move UI projections out of core.,8,Stock comparison and lazy hierarchy parity tests pass.
core/s08_saved_views.py,Shared saved-filter catalog with atomic writes and locks.,application/ports/saved_view_repository.py; adapters/storage/saved_views.py,Wrap first. Keep page scope explicit in stored records.,2,Concurrent read/write and page isolation tests pass.
core/s09_cross_gamma.py,"XGAMMA validation, market scope, move development and output aggregation.",domain/risk/models.py; domain/pnl/formulas.py; adapters/production/risk/cross_gamma.py,Keep calculation pure and adapter I/O separate.,3,Existing XGAMMA golden cases pass.
core/s10_new_trades.py,"New Trades validation, reference selection, MarketBook joins, P&L and audit detail.",domain/risk/models.py; domain/pnl/formulas.py; adapters/production/risk/new_positions.py,Preserve split identity and detail rows while extracting source adapter.,3,Existing New Trades tests pass.
